id,name
379,Jr Chicken Sandwich
380,Jr Chocolate Shake
381,Jr Deluxe Sandwich
382,Jr Ham & Cheddar Sandwich
383,Jr Jamocha Shake
384,Jr Roast Beef
385,Jr Roast Beef Sandwich
386,Jr Vanilla Shake
387,Loaded Potato Bites® – (5)
388,Loaded Potato Bites® – (8)
389,Mozzarella Sticks – (4)
390,Mozzarella Sticks – (6)
391,Outside-In Cinnamon Bites™
392,Potato Cakes (2)
393,Potato Cakes (2)
394,Potato Cakes (3)
395,Potato Cakes (4)
396,Prime-Cut™ Chicken Tenders (3)
397,Prime-Cut™ Chicken Tenders (5)
398,Prime-Cut™ Chicken Tenders – (2)
399,Ranch Dipping Sauce Adds
400,Reuben Sandwich
401,Roast Beef Classic
402,Roast Beef Max
403,Roast Beef Mild
404,Roast Chicken Club
405,Roast Turkey & Swiss Sandwich
406,Roast Turkey & Swiss Wrap
407,"Roast Turkey, Ranch & Bacon Sandwich"
408,"Roast Turkey, Ranch & Bacon Wrap"
409,Sausage Biscuit
410,Sausage Gravy Biscuit
411,"Sausage, Egg & Cheese Wrap"
412,Shroom & Swiss
413,Smokin’ Chipotle Chicken*
414,Steakhouse Onion Rings (5)
415,Super Roast Beef
416,Tangy Barbeque Sauce Adds
417,Turkey Bacon Club Toasted Sub
418,Vanilla Shake – Regular
419,Vanilla Shake – Small
420,Abc Special
421,Almond Croissant
422,Apple Croissant
423,Apple Danish
424,Apple Spice Bagel
425,Asiago Bagel
426,Asiago Cream Pasta
427,Asiago Focaccia
428,Asiago Loaf
429,Asiago Strip
430,"Bacon, Egg & Cheese Sandwich"
431,Baja Chicken Enchilada
432,Baked Potato
433,Balsamic Bleu Salad
434,Banana Nut Muffin
435,Banana Nut Muffin Top
436,Basil Pesto Pasta
437,Bbq Chicken Pizza
438,Bear Claw
439,Belgian Waffle With Maple Syrup & Whipped Cream
440,Bella Chicken Sandwich
441,Bistro Chicken Press
442,Blueberry Muffin
443,Blueberry Muffin Top
444,Broccoli & Cheese
445,Caesar Salad
446,California Avocado
447,Caramel Nut Cheesecake
448,Carrot Cake Cheesecake
449,Cheese Croissant
450,Cheese Danish
451,Chicken & Sausage Gumbo
452,Chicken Cordon Bleu Panini
453,Chicken Parmesan
454,Chicken Peppercorn
455,Chicken Pesto Calzone
456,Chicken Pesto Panini
457,Chicken Salad On Sourdough
458,Chicken Waldorf
459,Chive Cream Cheese
460,Chocolate Chip Muffin
461,Chocolate Chip Muffin Top
462,Chocolate Chunk Cookie
463,Chocolate Croissant
464,Chocolate Toffee Cookie
465,"Chocolate, Oatmeal And Craisin Cookie"
466,Chopstix Chicken Salad
467,Ciabatta
468,Cinnamon Crisp Bagel
469,Cinnamon Raisin Bagel
470,Cinnamon Raisin Bread
471,Cinnamon Roll
472,Classic Beef Chili
473,Classic Chicken Noodle
474,Cookies And Cream Cheesecake
475,Creamy Caramel Brownie
476,Cubano Panini
477,Double Chocolate Brownie
478,Egg & Cheese Sandwich
479,Everything Bagel
480,Fettuccine Salmone
481,Florentine Omelette
482,Four Cheese Pizza
483,French Baguette
484,French Croissant
485,French Loaf
486,French Onion
487,French Roll
488,French Toast With Maple Syrup
489,Frontier Chicken Chili
490,Garden Vegetable
491,Gooey Butter Danish
492,Greek Salad
493,Ham & Swiss Omelette
494,"Ham, Egg & Cheddar Cheese Sandwich"
495,Homestyle Chicken & Dumpling
496,Honey Maple Ham On Honey Wheat
497,Honey Raisin Walnut Cream Cheese
498,Honey Wheat Bread
499,House Salad
500,Italian Vegetarian Panini
501,Key Lime Pie
502,Kid’S Cheese Pizza
503,Kid’S Grilled Cheese
504,Kid’S Peanut Butter & Jelly
505,Kid’S Penne And Cheese
506,Low Fat Apple Muffin
507,Low Fat Pumpkin Muffin
508,Low Fat Pumpkin Muffin Top
509,Margherita Pizza
510,Mocha Chip Muffin
511,Mocha Chip Muffin Top
512,Morning Classic With Bacon
513,Morning Classic With Ham
514,Morning Classic With Sausage
515,New England Clam Chowder
516,Nine Grain Bread
517,Ny Hot Pastrami
518,Oatmeal Raisin Cookie
519,Olive Cream Cheese
520,Panini Bread
521,Peanut Butter Cookie
522,Pecan Roll
523,Pecan Turtle Cheesecake
524,Penne Bolognese
525,Penne Pomodoro
526,Pepperoni Pizza
527,Plain Bagel
528,Plain Cheesecake
529,Plain Cream Cheese
530,Poppy Seed Bagel
531,Pumpernickel Loaf
532,Pumpkin Cheesecake
533,Pumpkin Muffin
534,Raspberry Cheese Croissant
535,Raspberry Cheese Danish
536,Raspberry Cream Cheese
537,Rye Loaf
538,Salsa Fresca Salmon Salad
539,"Sausage, Egg & Cheese Sandwich"
540,Scrambled Eggs
541,Sesame Seed Bagel
542,Shortbread Cookie
543,Sourdough Baguette
544,Sourdough Bread
545,Sourdough Soup Bowl
546,Spanish Omelette
547,Sticky Bun
548,Three Cheese Omelette
549,Toffee Chocolate Chunk Cookie
550,Tomato Bacon Omelette
551,Tomato Fennel & Dill
552,Tuna Salad On French
553,Turkey Bacon Rustica
554,Turkey Club Panini
555,Turkey On Nine Grain
556,Vegetable Cream Cheese
557,Veggie On Nine Grain
558,Wheat Bagel
559,White Chocolate Macadamia Nut Cookie
560,White Pizza
561,Whole Grain Bagel
562,Wisconsin Cheese
563,1 Breast Dinner
564,1 Breast Dinner
565,12 piece & 6 biscuit box (serves 5-7)
566,12 piece Supremes box (serves 3-5)
567,2 Breast Dinner
568,2 Breast Dinner
569,2 piece Dinner (breast & wing)
570,2 piece Dinner (breast & wing)
571,2 piece Dinner (leg & thigh)
572,2 piece Dinner (leg & thigh)
573,2 Piece Supremes Kids’ Meal
574,2 Sausage Biscuits
575,20 piece & 10 biscuit box serves 9-11)
576,3 piece Dinner (leg & 2 thighs)
577,3 piece Dinner (leg & 2 thighs)
578,3 wing Dinner
579,3 wing Dinner
580,8 piece & 4 biscuit box (serves 3-5)
581,"Bacon, Egg & Cheese"
582,Bo-Berry Biscuit
583,Bo-Tato Rounds
584,Bo-Tato Rounds
585,Bo-Tato Rounds
586,Bojangles Cajun Pintos
587,Bojangles Cajun Pintos
588,Bojangles’ Dirty Rice
589,Bojangles’ Dirty Rice
590,Breast
591,Cajun Filet Biscuit
592,Cajun Filet Club Sandwich
593,Cajun Filet Sandwich
594,Chicken Leg Kids’ meal
595,Chicken Supremes Salad
596,Cinnamon Pecan Twist
597,Coffee (16oz)
598,Coffee (22oz)
599,Cole Slaw
600,Cole Slaw
601,Country Ham & Egg Biscuit
602,Country Ham Biscuit
603,Egg & Cheese Biscuit
604,Garden Salad
605,Gravy Biscuit
606,Green Beans
607,Green Beans
608,Grilled Chicken Club
609,Grilled Chicken Salad
610,Grilled Chicken Sandwich
611,Leg
612,Mac ‘N Cheese Kids’ Meal
613,Macaroni ‘N Cheese
614,Macaroni ‘N Cheese
615,Mashed Potatoes ‘N Gravy
616,Mashed Potatoes ‘N Gravy
617,Picnic Grits
618,Plain Biscuit
619,Roasted Chicken Bites
620,Sausage & Egg Biscuit
621,Sausage Biscuit
622,Seasoned Fries
623,Seasoned Fries
624,Seasoned Fries
625,Steak Biscuit
626,Supreme
627,"Sweet Iced Tea (16oz, with ice)"
628,"Sweet Iced Tea (22oz, with ice)"
629,"Sweet Iced Tea (32oz, with ice)"
630,Sweet Potato Pie
631,Thigh
632,"Unsweetened Iced Tea (16oz, with ice)"
633,"Unsweetened Iced Tea (22oz, with ice)"
634,"Unsweetened Iced Tea (32oz, with ice)"
635,Wing
636,1/2 lb Popcorn Shrimp
637,3/4 lb Popcorn Shrimp
638,Asian Zing
639,Bacon Cheddar Burger
640,Ballpark Sampler
641,Big Jack Daddy Burger
642,Black & Bleu Burger
643,Blazin ®
644,Boneless (each)
645,Boneless Wings &Traditional Wings
646,Boneless Wings (4)
647,Breaded Tenders (each)
648,Buffalo Chicken Flatbread
649,Buffalo Chips Basket
650,Buffalo Chips Basket with cheese
651,Buffalo Chips Regular
652,Buffalo Chips Regular
653,Buffalo Chips Regular with cheese
654,Buffalo Ranch Chicken Sandwich
655,Buffalo Ranch Chicken Wrap
656,Caribbean Jerk
657,Cheeseburger
658,Cheeseburger Slammers
659,Chicken Caesar Salad
660,Chicken Caesar Wrap
661,Chicken Quesadilla
662,Chicken Tender Salad
663,Chicken Tender Wrap
664,Chicken Tenders & Popcorn Shrimp
665,Chicken Tenders (3)
666,Chili Con Queso Dip
667,Chili Queso Burger
668,Chips & Salsa
669,Chocolate Fudge Cake
670,Coleslaw
671,Crispy Fish Sandwich
672,Crispy Southwest Dippers
673,Deep-dish Apple Pie
674,Desert Heat® Based on 1/2 tsp
675,French fries
676,French Fries
677,French Fries Basket
678,French Fries Regular
679,French Fries Regular
680,French Fries Regular
681,Garden Salad
682,Gardenburger
683,Grilled Blackened Chicken Salad
684,Grilled Chicken Buffalitos
685,Grilled Chicken Salad
686,Grilled Chicken Sandwich
687,Honey BBQ
688,Honey BBQ Bacon Burger
689,Honey BBQ Bacon Chicken Sandwich
690,Honey BBQ Chicken Flatbread
691,Honey BBQ Chicken Salad
692,Honey Mustard
693,Hot
