id,name
2221,"Ice Cream, Vanilla (4 fluid ounces)"
2222,Kids Banana Freeze
2223,Kids Calabash Chicken
2224,Kids Cheese Quesadilla
2225,Kids Cheeseburger
2226,Kids Chicken and Cheese Quesadilla
2227,Kids Fish and Chips
2228,Kids Grilled Cheese Sandwich
2229,Kids Grilled Chicken Sandwich
2230,Kids Grilled Salmon with Broccoli
2231,Kids Hamburger
2232,Kids Pasta with Alfredo Sauce
2233,Kids Pasta with Cheese Sauce
2234,Kids Peach Freeze
2235,Kids Popcorn Shrimp
2236,Kids Salad
2237,"Kids Specialty Soda, Cherry Diet Pepsi"
2238,"Kids Specialty Soda, Cherry Pepsi"
2239,"Kids Specialty Soda, Cherry Sprite"
2240,"Kids Specialty Soda, Orange Diet Pepsi"
2241,"Kids Specialty Soda, Orange Pepsi"
2242,"Kids Specialty Soda, Orange Sprite"
2243,Kids Strawberry Freeze
2244,Kids Sugar Free Chocolate Mousse Shooter
2245,Kids Sundae
2246,Killer Shrimp
2247,Killer Shrimp and Ribs
2248,Large Brownie and Cheesecake Combo Tray (per serving)
2249,Large Brownie Tray (per serving)
2250,Large Calabash and Wings Combo Tray (per serving)
2251,Large Fiesta Nachos
2252,Large Fiesta Nachos with Beef
2253,Large Fiesta Nachos with Chicken
2254,Large Salad Tray (per serving)
2255,Large Veggie Tray (per serving)
2256,Large Wing Party Tray (per serving)
2257,Large World Famous Calabash Chicken Tray (per serving)
2258,Lite Aloha Chicken
2259,Lite Chocolate Mousse
2260,"Lite FATZ Famous Fish Sandwich, Blackened"
2261,"Lite FATZ Famous Fish Sandwich, Key West Style"
2262,Lite Grilled Chicken Salad
2263,Lite Grilled Chopped Steak with Steamed Broccoli
2264,"Lite Grilled Salmon with Corn, Tomato & Avocado Relish"
2265,Lite Grilled Shrimp and Veggie Harpoons
2266,Lite Grilled Top Sirloin with Broccoli
2267,Lite Key West Basa
2268,Lite Shrimp Skewer
2269,Lite Side Veggie Skewers (2 skewers)
2270,Loaded Baked Potato
2271,Loaded Potato Soup Bowl
2272,Loaded Potato Soup Cup
2273,Lunch 1/2 Calabash Wrap
2274,Lunch Calabash Chicken
2275,Lunch Calabash Combo
2276,Lunch Fish and Chips
2277,Lunch Grilled Cheese Sandwich
2278,Lunch Grilled Shrimp and Veggie Harpoons
2279,Lunch Half Calabash BLT
2280,Lunch Half Club
2281,Lunch Lite Grilled Chicken Salad
2282,Lunch1/2 Popcorn Shrimp Wrap
2283,Old Fashioned Cheeseburger
2284,Parmesan Encrusted Basa
2285,Parmesan Encrusted Chicken Pasta
2286,Peanut Butter Pie
2287,"Pint of Cinnamon Apples, Plating (8 ounces)"
2288,Pint of Garden Blend Rice (8 ounces)
2289,Pint of Pasta Salad (16 ounces)
2290,Pint of Pasta Salad (8 ounces)
2291,Pint of Sweet Vidalia Coleslaw (8 ounces)
2292,Popcorn Shrimp Salad
2293,Popcorn Shrimp Wrap
2294,Popcorn Shrimp Wrap
2295,Poppy Seed Rolls (1 roll)
2296,Poppyseed Bread Pudding
2297,Poppyseed Rolls (1 roll)
2298,Pot Roast
2299,"Premium Grilled Pork Chops, BBQ"
2300,"Premium Grilled Pork Chops, Blackened"
2301,"Premium Grilled Pork Chops, Grilled"
2302,"Quart of Cinnamon Apples, Plating (16 ounces)"
2303,Quart of Garden Blend Rice (16 ounces)
2304,Quart of Sweet Vidalia Onion Coleslaw (16 ounces)
2305,Red Skinned Mashed Potatoes
2306,Rib Tray (per serving)
2307,"Ribs, Shrimp and Chicken Trio"
2308,Salad for Classic Soup and Salad
2309,Sauteed Spinach
2310,Seabreeze Spinach Salad
2311,Seabreeze Spinach Salad with Grilled Aloha Chicken
2312,Seasoned Potato Wedge Tray (per wedge)
2313,Shrimp Po Boy
2314,Side Caesar Salad
2315,Side House Salad
2316,Side Veggie Salad
2317,Small Brownie and Cheesecake Combo Tray
2318,Small Brownie Tray
2319,Small Calabash and Wings Combo Tray
2320,Small Salad Tray
2321,Small Veggie Tray
2322,Small Wing Party Tray
2323,Small World Famous Calabash Chicken Tray
2324,Smoked Ham
2325,Smoked Turkey
2326,Smothered Chopped Steak
2327,Smothered Steak Topper
2328,Southern Gold Ribs and Calabash Chicken
2329,Southwestern Jalapeño Burger
2330,Steak and Ribs
2331,Steamed Broccoli
2332,Stone Ground Cheese Grits
2333,Strawberries and Cheesecake
2334,Sugar Free Chocolate Mousse
2335,Sweet Potato Fries
2336,TCs Hard Cider Sampler
2337,The Original FATZ Sampler
2338,The Ultimate Chopped Chef Salad
2339,Traditional Caesar Salad
2340,Bacon
2341,Baked Spaghetti
2342,Baked Spaghetti with Meatballs
2343,"Breadstick, Dry (1 each)"
2344,Broccoli
2345,Broccoli and Fire Roasted Tomatoes
2346,Cheese Pizza
2347,Cheese Stuffed Pizza Sticks
2348,Cheesy Baked Ziti
2349,Cheesy Meatball Baked Spaghetti
2350,Cherry Almond Chicken
2351,Chicken Broccoli Florentine
2352,Chicken Broccoli Penne
2353,Chicken Carbonara
2354,Chicken Mushroom Alfredo Bake
2355,Chicken Parmigano
2356,Chicken Penne & Peppers
2357,Chicken Pesto
2358,Chicken Pesto
2359,Chocolate Chunk Cookie
2360,Chocolate Layer Cake
2361,Citrus Apple & Roasted Chicken
2362,Classic Sampler Platter
2363,Club Italiano
2364,Club Italiano
2365,Country Caesar
2366,Croutons (Pack)
2367,Fazoli’s Italian House
2368,Fazoli’s® Original
2369,Fazoli’s® Original
2370,Fettuccine Alfredo
2371,Fettuccine Alfredo
2372,Fettuccine with Alfredo
2373,Four Cheese Lasagna
2374,Garlic Breadstick (1 each)
2375,Garlic Chicken Baked Spaghetti
2376,Italian BLT
2377,Italian BLT
2378,Italian Lemon Ice – Medium
2379,Italian Lemon Ice – Small
2380,Italian Lemon Ice with Peach
2381,Italian Lemon Ice with Strawberry
2382,Italian Lemon Ice with Wildberry
2383,Italian Sampler
2384,Meat Lasagna
2385,Meatballs
2386,"Mushroom, Pepper & Onion Blend"
2387,NY Style Cheesecake with Strawberry Topping
2388,Pasta Ranch Italia
2389,Penne Romano
2390,Penne with Creamy Basil Chicken
2391,Pepperoni Classico
2392,Pepperoni Classico
2393,Pepperoni Pizza
2394,Pepperoni Stuffed Pizza Sticks
2395,Ravioli with Alfredo
2396,Ravioli with Marinara
2397,Ravioli with Meat Sauce
2398,Ravioli with Meat Sauce
2399,Red Wine Vinaigrette
2400,Roasted Chicken
2401,Roasted Chicken Platter
2402,Sausage & Peppers Baked Spaghetti
2403,Side Chopped Salad
2404,Sliced Italian Sausage
2405,Smoked Turkey Basil
2406,Smoked Turkey Breast
2407,Spaghetti or Penne Marinara
2408,Spaghetti with Alfredo
2409,Spaghetti with Marinara
2410,Spaghetti with Marinara Sauce
2411,Spaghetti with Meat Sauce
2412,Spaghetti with Meat Sauce
2413,Spaghetti with Meatballs
2414,"Spaghetti, Fettuccine, Penne or Bowtie with Alfredo"
2415,"Spaghetti, Fettuccine, Penne or Bowtie with Marinara"
2416,"Spaghetti, Fettuccine, Penne or Bowtie with Meat Sauce"
