id,calories,carbs,fat
3513,940,72.0,48
3514,180,34.0,1
3515,830,61.0,44
3516,1270,97.0,67
3517,680,63.0,30
3518,920,98.0,36
3519,550,59.0,21
3520,710,94.0,22
3521,1310,82.0,73
3522,500,41.0,21
3523,590,62.0,20
3524,15,2.0,0
3525,210,27.0,11
3526,200,45.0,0
3527,800,40.0,36
3528,280,15.0,19
3529,190,26.0,8
3530,510,48.0,32
3531,70,8.0,3
3532,1450,97.0,74
3533,1450,97.0,74
3534,700,73.0,41
3535,290,34.0,4
3536,400,34.0,7
3537,730,104.0,32
3538,890,70.0,62
3539,190,35.0,1
3540,190,43.0,0
3541,920,131.0,35
3542,170,24.0,4
3543,416,31.0,9
3544,404,30.0,12
3545,489,14.0,27
3546,1042,36.0,75
3547,391,22.0,24
3548,471,24.0,32
3549,784,13.0,49
3550,327,23.0,22
3551,427,27.0,31
3552,856,46.0,55
3553,1276,48.0,101
3554,1302,64.0,99
3555,969,72.0,56
3556,1298,54.0,102
3557,543,19.0,29
3558,963,20.0,76
3559,988,36.0,73
3560,1044,26.0,83
3561,770,19.0,56
3562,961,21.0,76
3563,656,44.0,30
3564,984,26.0,76
3565,384,49.0,19
3566,670,19.0,43
3567,1156,23.0,77
3568,325,19.0,27
3569,225,4.0,21
3570,561,28.0,44
3571,526,41.0,27
3572,342,14.0,29
3573,725,21.0,42
3574,571,34.0,41
3575,690,52.0,39
3576,381,41.0,23
3577,160,12.0,8
3578,472,28.0,29
3579,401,21.0,7
3580,389,33.0,26
3581,419,16.0,37
3582,167,11.0,12
3583,207,20.0,11
3584,230,49.0,1
3585,563,17.0,38
3586,475,24.0,25
3587,632,3.0,43
3588,849,51.0,51
3589,736,16.0,59
3590,388,4.0,27
3591,96,11.0,3
3592,109,9.0,8
3593,55,6.0,3
3594,514,9.0,28
3595,305,32.0,17
3596,52,3.0,4
3597,269,30.0,12
3598,709,41.0,39
3599,305,10.0,3
3600,147,0.0,2
3601,441,43.0,12
3602,210,8.0,10
3603,246,17.0,16
3604,147,12.0,8
3605,616,32.0,31
3606,214,5.0,21
3607,171,15.0,10
3608,381,16.0,34
3609,394,24.0,32
3610,422,19.0,37
3611,380,17.0,34
3612,228,28.0,11
3613,392,19.0,34
3614,188,0.0,6
3615,364,2.0,26
3616,324,2.0,24
3617,448,2.0,27
3618,607,63.0,25
3619,545,0.0,35
3620,764,0.0,49
3621,606,2.0,39
3622,880,73.0,51
3623,1320,79.0,70
3624,1330,83.0,71
3625,1315,93.0,70
3626,1306,86.0,71
3627,1206,97.0,69
3628,1291,96.0,70
3629,977,84.0,54
3630,387,2.0,25
3631,508,0.0,25
3632,254,0.0,13
3633,381,0.0,19
3634,1009,4.0,71
3635,519,3.0,24
3636,690,3.0,32
3637,349,2.0,16
3638,544,0.0,35
3639,762,0.0,49
3640,554,13.0,28
3641,297,46.0,10
3642,200,15.0,10
3643,125,9.0,7
3644,181,12.0,12
3645,472,37.0,12
3646,323,13.0,8
3647,715,20.0,36
3648,755,17.0,42
3649,496,29.0,24
3650,500,17.0,29
3651,588,20.0,30
3652,627,17.0,35
3653,282,17.0,19
3654,157,19.0,8
3655,444,41.0,29
3656,303,14.0,9
3657,318,63.0,5
3658,445,57.0,23
3659,364,74.0,5
3660,419,66.0,16
3661,465,77.0,16
3662,479,46.0,31
3663,694,65.0,30
3664,1027,50.0,71
3665,686,39.0,40
3666,790,40.0,49
3667,855,40.0,55
3668,218,0.0,9
3669,301,0.0,12
3670,219,24.0,8
3671,174,19.0,7
3672,564,23.0,41
3673,436,25.0,29
3674,483,25.0,36
3675,329,17.0,25
3676,343,25.0,23
3677,483,38.0,33
3678,466,28.0,31
3679,295,43.0,9
3680,442,65.0,14
3681,469,4.0,38
3682,512,5.0,43
3683,517,5.0,43
3684,493,5.0,41
3685,552,3.0,28
3686,733,4.0,37
3687,529,49.0,18
3688,371,17.0,12
3689,360,13.0,19
3690,690,57.0,40
3691,200,13.0,10
3692,120,13.0,4
3693,200,16.0,12
3694,220,23.0,11
3695,490,65.0,22
3696,190,24.0,8
3697,260,26.0,13
3698,310,20.0,24
3699,32,7.0,0
3700,530,82.0,16
3701,390,39.0,19
3702,370,27.0,23
3703,100,12.0,3
